,position,canton,helvetia_per_10k,helvetia_companies
25,1,Basel Stadt,7,13
24,2,Zug,7,26
9,3,Nidwalden,6,3
0,...,...,...,...
21,24,Lucerne,2,8
12,25,Fribourg,1,2
1,26,Appenzell Innerrhoden,0,0
