,position,canton,schweiz_per_10k,schweiz_companies
1,1,Appenzell Innerrhoden,209,42
25,2,Basel Stadt,196,353
2,3,Zurich,186,2329
0,...,...,...,...
0,24,Jura,10,6
22,25,Vaud,8,53
18,26,Geneva,6,30
