,position,canton,suisse_per_10k,suisse_companies
18,1,Geneva,186,982
23,2,Ticino,138,576
22,3,Vaud,132,826
0,...,...,...,...
19,24,Thurgau,18,39
11,25,Glarus,17,6
6,26,Obwalden,16,7
